"AnyMaze_Test";"Animal";"Task";"Type";"Sampling";"Retention";"Apperatus";"Date";"Entry";"Time";"Familiar_Object";"Unfamiliar_Object";"Familiar_Position";"Unfamiliar_Position";"Retention_Check";"Notes";"Cum_dist_min_1";"Cum_dist_min_2";"Cum_dist_min_3";"Cum_dist_min_4";"Cum_dist_min_5";"Bin_dist_min_1";"Bin_dist_min_2";"Bin_dist_min_3";"Bin_dist_min_4";"Bin_dist_min_5";"Cum_velo_min_1";"Cum_velo_min_2";"Cum_velo_min_3";"Cum_velo_min_4";"Cum_velo_min_5";"Bin_velo_min_1";"Bin_velo_min_2";"Bin_velo_min_3";"Bin_velo_min_4";"Bin_velo_min_5";"Cum_BaLe_exp_1";"Cum_BaLe_exp_2";"Cum_BaLe_exp_3";"Cum_BaLe_exp_4";"Cum_BaLe_exp_5";"Bin_BaLe_exp_1";"Bin_BaLe_exp_2";"Bin_BaLe_exp_3";"Bin_BaLe_exp_4";"Bin_BaLe_exp_5";"BaLe_exp_Latency";"Cum_FrRi_exp_1";"Cum_FrRi_exp_2";"Cum_FrRi_exp_3";"Cum_FrRi_exp_4";"Cum_FrRi_exp_5";"Bin_FrRi_exp_1";"Bin_FrRi_exp_2";"Bin_FrRi_exp_3";"Bin_FrRi_exp_4";"Bin_FrRi_exp_5";"FrRi_exp_Latency";"Cum_BaLe_tim_1";"Cum_BaLe_tim_2";"Cum_BaLe_tim_3";"Cum_BaLe_tim_4";"Cum_BaLe_tim_5";"Bin_BaLe_tim_1";"Bin_BaLe_tim_2";"Bin_BaLe_tim_3";"Bin_BaLe_tim_4";"Bin_BaLe_tim_5";"Cum_BaRi_tim_1";"Cum_BaRi_tim_2";"Cum_BaRi_tim_3";"Cum_BaRi_tim_4";"Cum_BaRi_tim_5";"Bin_BaRi_tim_1";"Bin_BaRi_tim_2";"Bin_BaRi_tim_3";"Bin_BaRi_tim_4";"Bin_BaRi_tim_5";"Cum_FrLe_tim_1";"Cum_FrLe_tim_2";"Cum_FrLe_tim_3";"Cum_FrLe_tim_4";"Cum_FrLe_tim_5";"Bin_FrLe_tim_1";"Bin_FrLe_tim_2";"Bin_FrLe_tim_3";"Bin_FrLe_tim_4";"Bin_FrLe_tim_5";"Cum_FrRi_tim_1";"Cum_FrRi_tim_2";"Cum_FrRi_tim_3";"Cum_FrRi_tim_4";"Cum_FrRi_tim_5";"Bin_FrRi_tim_1";"Bin_FrRi_tim_2";"Bin_FrRi_tim_3";"Bin_FrRi_tim_4";"Bin_FrRi_tim_5";"Total_exp_time";"Bin_Trgt_exp_min_1";"Bin_Trgt_exp_min_2";"Bin_Trgt_exp_min_3";"Bin_Trgt_exp_min_4";"Bin_Trgt_exp_min_5";"Cum_Trgt_exp_min_1";"Cum_Trgt_exp_min_2";"Cum_Trgt_exp_min_3";"Cum_Trgt_exp_min_4";"Cum_Trgt_exp_min_5";"Bin_Cntl_exp_min_1";"Bin_Cntl_exp_min_2";"Bin_Cntl_exp_min_3";"Bin_Cntl_exp_min_4";"Bin_Cntl_exp_min_5";"Cum_Cntl_exp_min_1";"Cum_Cntl_exp_min_2";"Cum_Cntl_exp_min_3";"Cum_Cntl_exp_min_4";"Cum_Cntl_exp_min_5";"Bin_DiRa_min_1";"Bin_DiRa_min_2";"Bin_DiRa_min_3";"Bin_DiRa_min_4";"Bin_DiRa_min_5";"Cum_DiRa_min_1";"Cum_DiRa_min_2";"Cum_DiRa_min_3";"Cum_DiRa_min_4";"Cum_DiRa_min_5"
21;"Animal23-DB3-Test_OFA";"Schema";"Interference";1;"Wake";"OFA";"27.09.2023";"B";"13:44";5;5;"LB";"RB";"yes";"";5,509;11,862;17,053;18,583;19,585;5,509;6,353;5,191;1,529;1,002;0,092;0,099;0,095;0,077;0,065;0,092;0,106;0,087;0,025;0,017;0,7;0,9;1,5;1,5;1,5;0,7;0,3;0,5;0;0;21,3;0,1;0,7;1,2;1,2;1,2;0,1;0,6;0,5;0;0;37,5;20,9;31,4;56,9;56,9;56,9;20,9;10,5;25,6;0;0;14,8;43,3;54;54;59,9;14,8;28,6;10,7;0;5,9;13,2;25,7;33,8;67,9;67,9;13,2;12,5;8,1;34;0;11,2;19,6;35,2;61,2;115,3;11,2;8,4;15,7;26;54,1;2,7;0,1;0,6;0,5;0;0;0,1;0,7;1,2;1,2;1,2;0,7;0,3;0,5;0;0;0,7;0,9;1,5;1,5;1,5;-0,75;0,333333333333333;0;NA;NA;-0,75;-0,125;-0,111111111111111;-0,111111111111111;-0,111111111111111
22;"Animal24-BE6-Test_OFA";"Schema";"Schema";1;"Sleep";"OFA";"12.04.2024";"F";"13:22";5;5;"LB";"RB";"no";"Running";5,966;10,805;18,449;24,74;31,141;5,966;4,839;7,644;6,291;6,401;0,099;0,09;0,102;0,103;0,104;0,099;0,081;0,127;0,105;0,107;0,1;0,2;0,6;0,6;0,7;0,1;0,1;0,4;0;0,1;5,8;2;3,3;4,3;4,3;4,4;2;1,3;1;0;0,1;7,8;3,7;13;28,7;34,2;38,6;3,7;9,3;15,7;5,6;4,3;20,5;45;75,9;84,8;108,8;20,5;24,5;30,9;8,8;24;28,2;51,4;55,4;89,4;111,1;28,2;23,3;3,9;34,1;21,7;7,6;10,6;20,1;31,6;41,5;7,6;3;9,5;11,5;9,9;5,1;2;1,3;1;0;0,1;2;3,3;4,3;4,3;4,4;0,1;0,1;0,4;0;0,1;0,1;0,2;0,6;0,6;0,7;0,904761904761905;0,857142857142857;0,428571428571429;NA;0;0,904761904761905;0,885714285714286;0,755102040816327;0,755102040816327;0,725490196078431
23;"Animal25-DRD3-Test_OFA";"Schema";"Schema";1;"Sleep";"OFA";"12.04.2024";"R";"13:35";5;5;"RF";"LF";"no";"Running and 2 Jumps";9,056;15,284;25,055;34,937;40,316;9,056;6,228;9,77;9,882;5,379;0,151;0,127;0,139;0,146;0,134;0,151;0,104;0,163;0,165;0,09;0,7;2;2,3;2,7;2,7;0,7;1,3;0,3;0,4;0;12,6;1,1;1,7;2;2;2;1,1;0,6;0,4;0;0;1,9;5,2;8,6;15,3;25,2;27,5;5,2;3,4;6,8;9,9;2,3;12,8;37,9;60,1;78,1;118,8;12,8;25,1;22,2;18;40,6;20,2;35,8;52,9;71,7;73,6;20,2;15,6;17,1;18,8;1,9;21,8;37,7;51,6;64,9;80,2;21,8;15,8;13,9;13,3;15,2;4,7;0,7;1,3;0,3;0,4;0;0,7;2;2,3;2,7;2,7;1,1;0,6;0,4;0;0;1,1;1,7;2;2;2;-0,222222222222222;0,368421052631579;-0,142857142857143;1;NA;-0,222222222222222;0,0810810810810811;0,0697674418604651;0,148936170212766;0,148936170212766
24;"Animal26-GN8-Test_OFA";"Schema";"Schema";1;"Sleep";"OFA";"19.04.2024";"F";"13:22";5;5;"LF";"LB";"no";"Less running, 1 jump";5,054;8,974;14,781;20,829;25,488;5,054;3,921;5,807;6,047;4,659;0,084;0,075;0,082;0,087;0,085;0,084;0,065;0,097;0,101;0,078;1,3;2,4;4,4;5;6,1;1,3;1,1;2;0,6;1;7,8;2,2;2,4;2,5;3,6;5,8;2,2;0,2;0,1;1,1;2,2;17;9;19,4;42;62,8;86,8;9;10,5;22,5;20,9;24;2,4;7,3;13;14,8;18;2,4;4,9;5,7;1,8;3,2;22,1;36,9;55,9;76,1;107,2;22,1;14,8;19;20,2;31,1;26,5;56,4;69,1;86,2;88;26,5;29,9;12,8;17,1;1,8;11,9;1,3;1,1;2;0,6;1;1,3;2,4;4,4;5;6,1;2,2;0,2;0,1;1,1;2,2;2,2;2,4;2,5;3,6;5,8;-0,257142857142857;0,692307692307692;0,904761904761905;-0,294117647058824;-0,375;-0,257142857142857;0;0,27536231884058;0,162790697674419;0,0252100840336134
25;"Animal27-RD6-Test_OFA";"Schema";"Schema";1;"Sleep";"OFA";"19.04.2024";"B";"13:35";5;5;"RB";"RF";"no";"normal";6,537;11,04;16,242;20,681;23,797;6,537;4,503;5,201;4,44;3,115;0,109;0,092;0,09;0,086;0,079;0,109;0,075;0,087;0,074;0,052;0,4;0,5;1,3;3,6;3,6;0,4;0,1;0,8;2,2;0;32,7;1,2;1,4;1,9;1,9;1,9;1,2;0,2;0,5;0;0;8,2;5,9;9,8;20,8;34,6;44,4;5,9;3,9;11;13,9;9,7;24,7;39;54,9;86,7;101,8;24,7;14,3;15,9;31,8;15,1;6,1;11,3;25,5;37,3;67,9;6,1;5,2;14,2;11,8;30,7;23,3;59,9;78,9;81,4;85,9;23,3;36,6;19;2,5;4,5;5,5;1,2;0,2;0,5;0;0;1,2;1,4;1,9;1,9;1,9;0,4;0,1;0,8;2,2;0;0,4;0,5;1,3;3,6;3,6;0,5;0,333333333333333;-0,230769230769231;-1;NA;0,5;0,473684210526316;0,1875;-0,309090909090909;-0,309090909090909
26;"Animal28-GN9-Test_OFA";"Schema";"Schema";1;"Sleep";"OFA";"26.04.2024";"F";"13:19";5;5;"RB";"LB";"no";"normal";7,52;13,073;19,138;25,888;29,862;7,52;5,553;6,065;6,751;3,974;0,125;0,109;0,106;0,108;0,1;0,125;0,093;0,101;0,113;0,066;0,1;0,9;0,9;0,9;1;0,1;0,7;0;0;0,1;1;0,1;0,1;0,1;0,3;0,3;0,1;0;0;0,2;0;2,6;4,3;32,6;43,2;53,5;61,1;4,3;28,4;10,5;10,3;7,6;8,4;22,9;30,8;49,7;50,5;8,4;14,5;7,9;18,9;0,8;28,3;42,7;78,8;86,4;130;28,3;14,4;36,1;7,7;43,5;19;21,8;27,2;50,4;58,4;19;2,7;5,5;23,2;8;1,3;0,1;0,7;0;0;0,1;0,1;0,9;0,9;0,9;1;0,1;0;0;0,2;0;0,1;0,1;0,1;0,3;0,3;0;1;NA;-1;1;0;0,8;0,8;0,5;0,538461538461538
27;"Animal29-DB4-Test_OFA";"Schema";"Schema";1;"Sleep";"OFA";"26.04.2024";"L";"13:33";5;5;"LF";"RF";"no";"normal";7,909;13,392;18,521;23,004;27,018;7,909;5,483;5,13;4,483;4,014;0,132;0,112;0,103;0,096;0,09;0,132;0,091;0,085;0,075;0,067;0,7;1,1;1,2;1,2;1,2;0,7;0,4;0,1;0;0;4;0,4;0,5;0,5;0,5;0,5;0,4;0,1;0;0;0;38,9;12,3;17,6;37,5;47,8;53,8;12,3;5,3;19,9;10,3;6;16,4;21,5;46,2;71,3;84,7;16,4;5,1;24,7;25,1;13,4;20,5;46,4;52;65,4;75,4;20,5;25,9;5,5;13,4;10;10,8;34,5;44,4;55,5;86,1;10,8;23,7;9,9;11,1;30,5;1,7;0,4;0,1;0;0;0;0,4;0,5;0,5;0,5;0,5;0,7;0,4;0,1;0;0;0,7;1,1;1,2;1,2;1,2;-0,272727272727273;-0,6;-1;NA;NA;-0,272727272727273;-0,375;-0,411764705882353;-0,411764705882353;-0,411764705882353
28;"Animal30-RD7-Test_OFA";"Schema";"Schema";1;"Sleep";"OFA";"03.05.2024";"R";"13:09";5;5;"LB";"LF";"no";"normal";5,145;8,648;11,996;16,996;21,784;5,145;3,503;3,348;5;4,788;0,086;0,072;0,067;0,071;0,073;0,086;0,058;0,056;0,083;0,08;0;0;0,1;0,1;0,1;0;0;0,1;0;0;157,2;1,1;1,4;1,8;1,8;2,2;1,1;0,3;0,3;0;0,5;3,3;8;9,2;21,8;26,5;29;8;1,2;12,6;4,8;2,5;24,9;30,6;47,5;89,8;110,9;24,9;5,7;17;42,3;21;13,3;28,6;59;63,8;92,7;13,3;15,4;30,4;4,8;28,9;13,8;51,6;51,6;59,8;67,4;13,8;37,8;0;8,2;7,6;2,3;1,1;0,3;0,3;0;0,5;1,1;1,4;1,8;1,8;2,2;0;0;0,1;0;0;0;0;0,1;0,1;0,1;1;1;0,5;NA;1;1;1;0,894736842105263;0,894736842105263;0,91304347826087
29;"Animal31-BE7-Test_OFA";"Schema";"Schema";1;"Sleep";"OFA";"03.05.2024";"L";"13:24";5;5;"RF";"RB";"no";"repeated object climbing and 1 jump";7,537;13,442;21,36;27,905;34,094;7,537;5,905;7,918;6,545;6,189;0,126;0,112;0,119;0,116;0,114;0,126;0,098;0,132;0,109;0,103;1;1,4;1,4;1,4;1,4;1;0,4;0;0;0;5,6;0,1;0,2;0,3;0,3;0,3;0,1;0,1;0,2;0;0;12,1;22,3;44,4;60,1;68,7;72,3;22,3;22,1;15,7;8,5;3,6;13,8;36;41,5;83,6;136,6;13,8;22,2;5,5;42,2;52,9;18,9;25,2;49,3;49,7;51;18,9;6,3;24,1;0,3;1,3;4,9;14,4;29,1;38;40,2;4,9;9,4;14,7;9;2,2;1,7;1;0,4;0;0;0;1;1,4;1,4;1,4;1,4;0,1;0,1;0,2;0;0;0,1;0,2;0,3;0,3;0,3;0,818181818181818;0,6;-1;NA;NA;0,818181818181818;0,75;0,647058823529412;0,647058823529412;0,647058823529412
30;"Animal32-DRD4-Test_OFA";"Schema";"Schema";1;"Sleep";"OFA";"10.05.2024";"B";"13:18";5;5;"LF";"RF";"no";"normal";8,259;14,269;22,147;28,686;31,993;8,259;6,01;7,878;6,538;3,308;0,138;0,119;0,123;0,12;0,107;0,138;0,1;0,131;0,109;0,055;0,1;1,8;2,3;2,3;2,4;0,1;1,7;0,6;0;0,1;8,5;2,3;3,3;3,7;4,1;4,1;2,3;1;0,4;0,4;0;3,6;15,3;20,3;27,4;46;47,4;15,3;5;7,1;18,6;1,4;11,5;17,4;25,5;34,9;35,6;11,5;6;8,1;9,4;0,7;18;48,7;79,4;95;146,6;18;30,6;30,7;15,6;51,5;15,2;33,6;47,7;64,1;70,4;15,2;18,4;14,1;16,4;6,3;6,5;2,3;1;0,4;0,4;0;2,3;3,3;3,7;4,1;4,1;0,1;1,7;0,6;0;0,1;0,1;1,8;2,3;2,3;2,4;0,916666666666667;-0,259259259259259;-0,2;1;-1;0,916666666666667;0,294117647058823;0,233333333333333;0,28125;0,261538461538461
31;"Animal33-BE8-Test_OFA";"Schema";"Schema";1;"Sleep";"OFA";"10.05.2024";"R";"13:32";5;5;"RB";"LB";"no";"";7,408;13,699;20,824;26,194;31,331;7,408;6,291;7,125;5,37;5,137;0,123;0,114;0,116;0,109;0,104;0,123;0,105;0,119;0,089;0,086;1,9;2,7;3;3;3;1,9;0,7;0,3;0;0;13,3;0,4;0,4;0,6;0,6;0,6;0,4;0;0,2;0;0;1,3;17;42,8;61;71,9;77,9;17;25,8;18,2;10,9;6;18,5;23,1;36;52,6;59,3;18,5;4,6;12,9;16,6;6,7;15,7;42,2;57,4;69,7;106,4;15,7;26,5;15,2;12,3;36,7;8,7;11,9;25,6;45,8;56,4;8,7;3,2;13,7;20,3;10,6;3,6;1,9;0,7;0,3;0;0;1,9;2,7;3;3;3;0,4;0;0,2;0;0;0,4;0,4;0,6;0,6;0,6;0,652173913043478;1;0,2;NA;NA;0,652173913043478;0,741935483870968;0,666666666666667;0,666666666666667;0,666666666666667
32;"SSD-01-RD1";"Schema";"Schema";1;"Wake";"OFA";"19.07.2024";"F";"13:09";5;5;"LB";"RB";"yes";"normal";8,792;13,49;19,276;22,324;23,184;8,792;4,698;5,786;3,048;0,86;0,147;0,112;0,107;0,093;0,077;0,147;0,078;0,096;0,051;0,014;1,2;1,5;1,6;1,8;1,8;1,2;0,3;0,1;0,2;0;6,4;1,4;1,8;1,8;2,4;2,4;1,4;0,4;0;0,6;0;1,9;14,4;29,6;42,5;57,4;57,4;14,4;15,2;13;14,9;0;12;17,4;27,2;38,2;38,2;12;5,5;9,8;11;0;20,1;27,4;48,5;52,2;52,2;20,1;7,3;21,1;3,7;0;13,6;45,6;61,8;92,2;152,2;13,6;32;16,2;30,5;60;4,2;1,4;0,4;0;0,6;0;1,4;1,8;1,8;2,4;2,4;1,2;0,3;0,1;0,2;0;1,2;1,5;1,6;1,8;1,8;0,0769230769230769;0,142857142857143;-1;0,5;NA;0,0769230769230769;0,0909090909090909;0,0588235294117647;0,142857142857143;0,142857142857143
33;"SSD-02-BL2";"Schema";"Schema";1;"Wake";"OFA";"19.07.2024";"R";"13:20";5;5;"RF";"LF";"yes";"running";10,193;17,34;21,703;24,603;32,177;10,193;7,148;4,363;2,9;7,574;0,17;0,145;0,121;0,103;0,107;0,17;0,119;0,073;0,048;0,126;0,5;0,9;0,9;0,9;1,2;0,5;0,4;0;0;0,3;4,3;0,2;0,8;0,8;0,8;1,1;0,2;0,6;0;0;0,3;12,7;10,8;33;71,3;124,4;136,8;10,8;22,2;38,3;53,1;12,4;17,8;25,2;46,9;46,9;62,6;17,8;7,5;21,7;0;15,7;13;25,1;25,1;31,5;47;13;12;0;6,5;15,5;18,4;36,7;36,7;37,1;53,6;18,4;18,3;0;0,4;16,5;2,3;0,5;0,4;0;0;0,3;0,5;0,9;0,9;0,9;1,2;0,2;0,6;0;0;0,3;0,2;0,8;0,8;0,8;1,1;0,428571428571429;-0,2;NA;NA;0;0,428571428571429;0,0588235294117647;0,0588235294117647;0,0588235294117647;0,0434782608695652
34;"SSD-03-BE1";"Schema";"Schema";1;"Wake";"OFA";"09.08.2024";"F";"13:08";5;5;"LF";"LB";"yes";"normal";6,34;8,598;10,673;12,701;15,765;6,34;2,257;2,075;2,028;3,065;0,106;0,072;0,059;0,053;0,053;0,106;0,038;0,035;0,034;0,051;0,8;0,9;0,9;0,9;0,9;0,8;0,1;0;0;0;9,3;1,7;1,7;1,7;1,7;1,8;1,7;0;0;0;0,1;2,9;6,2;9,3;9,3;9,3;15,1;6,2;3,2;0;0;5,7;4,3;5,9;5,9;5,9;6,8;4,3;1,5;0;0;1;17;18,2;20,6;21;27;17;1,2;2,4;0,4;6;32,5;86,6;144,2;203,8;251;32,5;54,1;57,6;59,6;47,3;2,7;0,8;0,1;0;0;0;0,8;0,9;0,9;0,9;0,9;1,7;0;0;0;0,1;1,7;1,7;1,7;1,7;1,8;-0,36;1;NA;NA;-1;-0,36;-0,307692307692308;-0,307692307692308;-0,307692307692308;-0,333333333333333
35;"SSD-04-GN1";"Schema";"Schema";1;"Wake";"OFA";"09.08.2024";"B";"13:19";5;5;"RB";"RF";"yes";"normal";11,301;17,669;24,093;25,383;32,678;11,301;6,368;6,424;1,29;7,296;0,188;0,147;0,134;0,106;0,109;0,188;0,106;0,107;0,021;0,122;1,7;1,8;2;2;2;1,7;0,1;0,2;0;0;9,8;1,6;2,3;2,3;2,3;2,3;1,6;0,7;0;0;0;4,7;5,4;8,6;15,2;28,1;35;5,4;3,2;6,5;13;6,9;13;19,8;28,7;28,7;52;13;6,8;8,9;0;23,3;18;59,9;98,8;145,8;158,2;18;41,9;38,9;47;12,4;23,6;31,6;37,3;37,3;54,8;23,6;8;5,7;0;17,5;4,3;1,6;0,7;0;0;0;1,6;2,3;2,3;2,3;2,3;1,7;0,1;0,2;0;0;1,7;1,8;2;2;2;-0,0303030303030303;0,75;-1;NA;NA;-0,0303030303030303;0,121951219512195;0,0697674418604651;0,0697674418604651;0,0697674418604651
36;"SSD-05-RD1";"Schema";"Schema";1;"Wake";"OFA";"29.09.2024";"F";"13:04";5;5;"RB";"LB";"yes";"normal";9,341;10,935;17,483;22,938;26,053;9,341;1,594;6,547;5,456;3,115;0,156;0,091;0,097;0,096;0,087;0,156;0,027;0,109;0,091;0,052;0,3;0,3;0,7;1,1;1,1;0,3;0;0,4;0,4;0;8,6;0,8;0,8;1;1;1,4;0,8;0;0,1;0,1;0,3;3,4;12,6;12,6;20,2;32,9;58;12,6;0;7,6;12,6;25,1;8,4;8,4;19,4;24,9;59,8;8,4;0;11;5,5;34,9;16,3;26,5;52;80,3;80,3;16,3;10,2;25,5;28,3;0;22,7;72,5;88,4;101,9;101,9;22,7;49,8;15,9;13,5;0;2,5;0,3;0;0,4;0,4;0;0,3;0,3;0,7;1,1;1,1;0,8;0;0,1;0,1;0,3;0,8;0,8;1;1;1,4;-0,454545454545455;NA;0,6;0,6;-1;-0,454545454545455;-0,454545454545455;-0,176470588235294;0,0476190476190477;-0,12
37;"SSD-06-BE1";"Schema";"Schema";1;"Wake";"OFA";"29.09.2024";"L";"13:15";5;5;"LF";"RF";"yes";"normal";6,963;14,179;18,364;22,011;25,088;6,963;7,216;4,185;3,647;3,078;0,116;0,118;0,102;0,092;0,084;0,116;0,12;0,07;0,061;0,051;1,4;1,9;1,9;1,9;1,9;1,4;0,5;0;0;0;30,8;0,1;0,4;0,5;0,5;0,5;0,1;0,2;0,1;0;0;4,2;26;32,6;42,3;53;86,1;26;6,6;9,8;10,7;33;6,6;14,4;38,7;41,8;47;6,6;7,8;24,3;3,1;5,2;24;52,2;72,9;81,2;103;24;28,2;20,6;8,4;21,8;3,4;20,8;26,1;63,9;63,9;3,4;17,4;5,3;37,9;0;2,4;0,1;0,2;0,1;0;0;0,1;0,4;0,5;0,5;0,5;1,4;0,5;0;0;0;1,4;1,9;1,9;1,9;1,9;-0,866666666666667;-0,428571428571429;1;NA;NA;-0,866666666666667;-0,652173913043478;-0,583333333333333;-0,583333333333333;-0,583333333333333
38;"SSD-07-BE1";"Schema";"Schema";1;"Wake";"OFA";"4.10.2024";"R";"13:14";5;5;"LB";"LF";"yes";"normal, but one jump attempt";5,941;13,811;18,73;22,989;29,262;5,941;7,87;4,919;4,259;6,273;0,099;0,115;0,104;0,096;0,098;0,099;0,131;0,082;0,071;0,105;0,8;0,9;1,2;1,2;1,3;0,8;0,1;0,3;0;0,1;16,5;0,9;1,1;1,4;1,4;1,5;0,9;0,2;0,2;0;0,1;3,9;12,6;21,5;38,9;47,9;76,5;12,6;8,9;17,4;9;28,6;2,1;12,5;12,5;43,7;47,7;2,1;10,4;0;31,2;3,9;15,7;45,9;78,8;98;113,6;15,7;30,2;32,9;19,2;15,6;29,6;40,1;49,8;50,4;62,3;29,6;10,5;9,7;0,6;11,9;2,8;0,9;0,2;0,2;0;0,1;0,9;1,1;1,4;1,4;1,5;0,8;0,1;0,3;0;0,1;0,8;0,9;1,2;1,2;1,3;0,0588235294117647;0,333333333333333;-0,2;NA;0;0,0588235294117647;0,1;0,0769230769230769;0,0769230769230769;0,0714285714285714
39;"SSD-08-GN1";"Schema";"Schema";1;"Wake";"OFA";"4.10.2024";"L";"13:25";5;5;"RF";"RB";"yes";"normal";6,814;14,26;20,463;23,566;27,859;6,814;7,446;6,203;3,103;4,294;0,114;0,119;0,114;0,098;0,093;0,114;0,124;0,103;0,052;0,072;1,2;1,2;1,9;1,9;2,2;1,2;0;0,7;0;0,4;14,6;1,1;1,3;1,8;1,9;2;1,1;0,2;0,5;0,1;0,1;7,2;15,9;32,9;36,4;44,8;47,3;15,9;17;3,5;8,4;2,5;15,5;30,3;48,4;56,6;63,7;15,5;14,8;18,2;8,1;7,1;18,9;37,4;55,3;74,2;95,9;18,9;18,5;17,9;18,9;21,7;9,7;19,4;39,9;64,4;93,1;9,7;9,7;20,5;24,5;28,7;4,2;1,2;0;0,7;0;0,4;1,2;1,2;1,9;1,9;2,2;1,1;0,2;0,5;0,1;0,1;1,1;1,3;1,8;1,9;2;0,0434782608695652;-1;0,166666666666667;-1;0,6;0,0434782608695652;-0,04;0,027027027027027;0;0,0476190476190477
40;"SSD-09-RD1";"Schema";"Schema";1;"Wake";"OFA";"25.10.2024";"B";"13:05";5;5;"LF";"RF";"yes";"normal";8,569;14,861;18,66;21,668;25,883;8,569;6,292;3,799;3,008;4,216;0,143;0,124;0,104;0,09;0,086;0,143;0,105;0,063;0,05;0,07;0,7;0,9;1;1,2;1,2;0,7;0,2;0,1;0,2;0;3,8;2,2;3,4;3,5;4,4;4,6;2,2;1,2;0,1;0,8;0,2;5,4;18,3;27,3;27,3;35,8;43,2;18,3;9,1;0;8,5;7,4;8;21,9;22,4;24,8;51,8;8;13,9;0,4;2,4;27;14,5;17;34,5;42,6;43;14,5;2,4;17,5;8,1;0,4;19,2;53,8;95,8;136,8;162,1;19,2;34,6;42;41;25,3;5,8;2,2;1,2;0,1;0,8;0,2;2,2;3,4;3,5;4,4;4,6;0,7;0,2;0,1;0,2;0;0,7;0,9;1;1,2;1,2;0,517241379310345;0,714285714285714;0;0,6;1;0,517241379310345;0,581395348837209;0,555555555555556;0,571428571428571;0,586206896551724
41;"SSD-10-BE1";"Schema";"Schema";1;"Wake";"OFA";"25.10.2024";"R";"13:16";5;5;"RB";"LB";"yes";"normal";9,967;17,421;22,895;27,965;34,313;9,967;7,454;5,474;5,07;6,348;0,166;0,145;0,127;0,117;0,114;0,166;0,124;0,091;0,085;0,106;1;1,1;1,2;1,2;1,2;1;0,1;0,1;0;0;27,3;0,3;0,9;1,2;1,2;1,4;0,3;0,5;0,3;0;0,2;20,4;12,7;21;24,1;32,7;38,7;12,7;8,3;3,1;8,5;6;7,2;19,9;29,4;35,5;51,9;7,2;12,7;9,5;6,1;16,4;29,1;38,4;48,2;90,4;114,2;29,1;9,3;9,8;42,3;23,8;10,9;40,7;78,3;81,4;95,2;10,9;29,7;37,6;3,2;13,7;2,6;1;0,1;0,1;0;0;1;1,1;1,2;1,2;1,2;0,3;0,5;0,3;0;0,2;0,3;0,9;1,2;1,2;1,4;0,538461538461538;-0,666666666666667;-0,5;NA;-1;0,538461538461538;0,1;0;0;-0,0769230769230769
