"AnyMaze_Test";"Animal";"Task";"Type";"Sampling";"Retention";"Apperatus";"Date";"Entry";"Time";"Familiar_Object";"Unfamiliar_Object";"Familiar_Position";"Unfamiliar_Position";"Retention_Check";"Notes";"Cum_dist_min_1";"Cum_dist_min_2";"Cum_dist_min_3";"Cum_dist_min_4";"Cum_dist_min_5";"Bin_dist_min_1";"Bin_dist_min_2";"Bin_dist_min_3";"Bin_dist_min_4";"Bin_dist_min_5";"Cum_velo_min_1";"Cum_velo_min_2";"Cum_velo_min_3";"Cum_velo_min_4";"Cum_velo_min_5";"Bin_velo_min_1";"Bin_velo_min_2";"Bin_velo_min_3";"Bin_velo_min_4";"Bin_velo_min_5";"Cum_BaLe_exp_1";"Cum_BaLe_exp_2";"Cum_BaLe_exp_3";"Cum_BaLe_exp_4";"Cum_BaLe_exp_5";"Bin_BaLe_exp_1";"Bin_BaLe_exp_2";"Bin_BaLe_exp_3";"Bin_BaLe_exp_4";"Bin_BaLe_exp_5";"BaLe_exp_Latency";"Cum_FrRi_exp_1";"Cum_FrRi_exp_2";"Cum_FrRi_exp_3";"Cum_FrRi_exp_4";"Cum_FrRi_exp_5";"Bin_FrRi_exp_1";"Bin_FrRi_exp_2";"Bin_FrRi_exp_3";"Bin_FrRi_exp_4";"Bin_FrRi_exp_5";"FrRi_exp_Latency";"Cum_BaLe_tim_1";"Cum_BaLe_tim_2";"Cum_BaLe_tim_3";"Cum_BaLe_tim_4";"Cum_BaLe_tim_5";"Bin_BaLe_tim_1";"Bin_BaLe_tim_2";"Bin_BaLe_tim_3";"Bin_BaLe_tim_4";"Bin_BaLe_tim_5";"Cum_BaRi_tim_1";"Cum_BaRi_tim_2";"Cum_BaRi_tim_3";"Cum_BaRi_tim_4";"Cum_BaRi_tim_5";"Bin_BaRi_tim_1";"Bin_BaRi_tim_2";"Bin_BaRi_tim_3";"Bin_BaRi_tim_4";"Bin_BaRi_tim_5";"Cum_FrLe_tim_1";"Cum_FrLe_tim_2";"Cum_FrLe_tim_3";"Cum_FrLe_tim_4";"Cum_FrLe_tim_5";"Bin_FrLe_tim_1";"Bin_FrLe_tim_2";"Bin_FrLe_tim_3";"Bin_FrLe_tim_4";"Bin_FrLe_tim_5";"Cum_FrRi_tim_1";"Cum_FrRi_tim_2";"Cum_FrRi_tim_3";"Cum_FrRi_tim_4";"Cum_FrRi_tim_5";"Bin_FrRi_tim_1";"Bin_FrRi_tim_2";"Bin_FrRi_tim_3";"Bin_FrRi_tim_4";"Bin_FrRi_tim_5";"Total_exp_time";"Bin_Trgt_exp_min_1";"Bin_Trgt_exp_min_2";"Bin_Trgt_exp_min_3";"Bin_Trgt_exp_min_4";"Bin_Trgt_exp_min_5";"Cum_Trgt_exp_min_1";"Cum_Trgt_exp_min_2";"Cum_Trgt_exp_min_3";"Cum_Trgt_exp_min_4";"Cum_Trgt_exp_min_5";"Bin_Cntl_exp_min_1";"Bin_Cntl_exp_min_2";"Bin_Cntl_exp_min_3";"Bin_Cntl_exp_min_4";"Bin_Cntl_exp_min_5";"Cum_Cntl_exp_min_1";"Cum_Cntl_exp_min_2";"Cum_Cntl_exp_min_3";"Cum_Cntl_exp_min_4";"Cum_Cntl_exp_min_5";"Bin_DiRa_min_1";"Bin_DiRa_min_2";"Bin_DiRa_min_3";"Bin_DiRa_min_4";"Bin_DiRa_min_5";"Cum_DiRa_min_1";"Cum_DiRa_min_2";"Cum_DiRa_min_3";"Cum_DiRa_min_4";"Cum_DiRa_min_5"
11;"Animal13-DRD3-Test_OFA";"Schema";"Interference";1;"Wake";"OFA";"12.04.2023";"L";"13:05";5;5;"LF";"LB";"yes";"";8,71;16,357;19,131;27,922;33,729;8,71;7,647;2,774;8,79;5,808;0,145;0,136;0,106;0,116;0,112;0,145;0,127;0,046;0,147;0,097;1,2;1,4;1,6;2;2;1,2;0,2;0,2;0,4;0;2,2;0,8;0,9;0,9;1,8;2;0,8;0,1;0;0,9;0,1;29,2;25,6;34,3;40,3;53,6;91,4;25,6;8,8;6;13,2;37,8;10,6;25,6;26,5;44;55,2;10,6;15;1;17,5;11,1;16,5;27,1;27,6;46,2;52,2;16,5;10,7;0,5;18,6;6;7,4;33;85,5;96,2;101,3;7,4;25,6;52,5;10,7;5,1;4;1,2;0,2;0,2;0,4;0;1,2;1,4;1,6;2;2;0,8;0,1;0;0,9;0,1;0,8;0,9;0,9;1,8;2;0,2;0,333333333333333;1;-0,384615384615385;-1;0,2;0,217391304347826;0,28;0,0526315789473684;0
12;"Animal14-DB-Test_OFA";"Schema";"Interference";1;"Sleep";"OFA";"29.08.2023";"F";"13:55";5;5;"RF";"RB";"yes";"";3,474;7,252;12,441;16,605;20,181;3,474;3,778;5,189;4,164;3,576;0,058;0,06;0,069;0,069;0,067;0,058;0,063;0,086;0,069;0,06;0;1,1;1,5;1,5;1,5;0;1,1;0,3;0;0;72,9;1,3;2,8;3,2;3,3;3,3;1,3;1,5;0,3;0,1;0;53,2;6,6;6,6;20,5;32,3;41,9;6,6;0;13,9;11,8;9,6;0;9,2;16,4;16,4;28,4;0;9,2;7,2;0;12;29,6;54,7;87,4;114,7;152,7;29,6;25,1;32,7;27,3;38,1;23,9;49,5;55,8;76,6;76,9;23,9;25,7;6,3;20,9;0,3;4,8;0;1,1;0,3;0;0;0;1,1;1,5;1,5;1,5;1,3;1,5;0,3;0,1;0;1,3;2,8;3,2;3,3;3,3;-1;-0,153846153846154;0;-1;NA;-1;-0,435897435897436;-0,361702127659574;-0,375;-0,375
13;"Animal15-RD4-Test_OFA";"Schema";"Interference";1;"Sleep";"OFA";"29.08.2023";"R";"14:10";5;5;"LB";"LF";"yes";"";6,999;10,888;12,074;16,719;20,669;6,999;3,89;1,186;4,645;3,95;0,117;0,091;0,067;0,07;0,069;0,117;0,065;0,02;0,077;0,066;0,6;0,6;0,6;1,4;1,7;0,6;0;0;0,8;0,3;16,3;1,2;1,5;1,5;1,8;2,3;1,2;0,3;0;0,3;0,5;7,4;9,4;16,4;23,6;36,4;50,1;9,4;7;7,3;12,8;13,6;21;50,5;103,2;119,4;142,9;21;29,5;52,7;16,2;23,5;22;39,4;39,4;65,5;79,9;22;17,4;0;26;14,5;7,7;13,7;13,7;18,7;27,1;7,7;6,1;0;5;8,4;4;1,2;0,3;0;0,3;0,5;1,2;1,5;1,5;1,8;2,3;0,6;0;0;0,8;0,3;0,6;0,6;0,6;1,4;1,7;0,333333333333333;1;NA;-0,454545454545455;0,25;0,333333333333333;0,428571428571429;0,428571428571429;0,125;0,15
14;"Animal16-BE4-Test_OFA";"Schema";"Interference";1;"Wake";"OFA";"01.09.2023";"L";"13:50";5;5;"RB";"LB";"yes";"";5,231;11,3;14,022;22,925;28,819;5,231;6,068;2,722;8,903;5,894;0,087;0,094;0,078;0,096;0,096;0,087;0,101;0,045;0,148;0,098;3,2;3,3;3,4;3,9;4,1;3,2;0,1;0,1;0,5;0,2;2,1;0,2;0,8;1,1;1,6;1,6;0,2;0,7;0,2;0,5;0;10,4;39,1;68,9;111,3;130,1;147,9;39,1;29,9;42,4;18,7;17,8;4;22,6;28,8;40,8;54,4;4;18,6;6,2;12;13,5;14,8;21,9;22,5;45,2;72,7;14,8;7,1;0,5;22,8;27,5;2,1;6,5;17,4;23,9;25;2,1;4,4;10,9;6,5;1,1;5,7;3,2;0,1;0,1;0,5;0,2;3,2;3,3;3,4;3,9;4,1;0,2;0,7;0,2;0,5;0;0,2;0,8;1,1;1,6;1,6;0,88235294117647;-0,75;-0,333333333333333;0;1;0,88235294117647;0,609756097560976;0,511111111111111;0,418181818181818;0,43859649122807
15;"Animal17-GE5_-Test_OFA";"Schema";"Interference";1;"Wake";"OFA";"01.09.2023";"B";"14:04";5;5;"LF";"RF";"yes";"";10,917;19,702;28,835;35,176;44,728;10,917;8,784;9,133;6,341;9,551;0,182;0,164;0,16;0,147;0,149;0,182;0,146;0,152;0,106;0,159;1,1;1,6;2,1;2,1;2,2;1,1;0,5;0,4;0;0,1;3,9;1,5;5,8;5,9;6;6,3;1,5;4,3;0,1;0,1;0,3;17,4;14,9;18,9;33;49;61,3;14,9;3,9;14,1;16;12,3;9,9;18,8;40,9;62,3;68,6;9,9;8,9;22,1;21,4;6,3;16,1;21,5;39,6;47,1;67,8;16,1;5,4;18,1;7,5;20,7;19;60,8;66,5;81,6;102,4;19;41,8;5,7;15,1;20,8;8,5;1,5;4,3;0,1;0,1;0,3;1,5;5,8;5,9;6;6,3;1,1;0,5;0,4;0;0,1;1,1;1,6;2,1;2,1;2,2;0,153846153846154;0,791666666666667;-0,6;1;0,5;0,153846153846154;0,567567567567567;0,475;0,481481481481482;0,482352941176471
16;"Animal18-BE5-Test_OFA";"Schema";"Interference";1;"Sleep";"OFA";"14.09.2023";"L";"13:14";5;5;"LB";"RB";"yes";"";6,146;11,423;15,27;16,864;17,31;6,146;5,277;3,847;1,594;0,445;0,102;0,095;0,085;0,07;0,058;0,102;0,088;0,064;0,027;0,007;0,4;0,4;1;1;1;0,4;0;0,5;0;0;22,5;1,4;1,5;1,5;1,6;1,6;1,4;0,1;0;0,1;0;8,8;8;34,4;66,3;73,8;73,8;8;26,4;31,9;7,5;0;39,9;51,4;60;112,5;172,4;39,9;11,5;8,5;52,5;60;3,8;23,4;32,1;32,1;32,1;3,8;19,6;8,7;0;0;8,3;10,9;21,7;21,7;21,7;8,3;2,5;10,8;0;0;2,6;1,4;0,1;0;0,1;0;1,4;1,5;1,5;1,6;1,6;0,4;0;0,5;0;0;0,4;0,4;1;1;1;0,555555555555556;1;-1;1;NA;0,555555555555556;0,578947368421053;0,2;0,230769230769231;0,230769230769231
17;"Animal19-RD5-Test_OFA";"Schema";"Interference";1;"Sleep";"OFA";"14.09.2023";"B";"13:28";5;5;"RF";"LF";"yes";"";12,168;18,719;27,117;31,412;33,922;12,168;6,552;8,397;4,295;2,51;0,203;0,156;0,151;0,131;0,113;0,203;0,109;0,14;0,072;0,042;1,1;1,5;2,3;2,3;2,3;1,1;0,5;0,8;0;0;9,4;0,6;0,9;1,4;3,9;3,9;0,6;0,4;0,4;2,5;0;3,6;11,4;24;36,2;37,8;47,6;11,4;12,6;12,2;1,5;9,8;17,1;35,5;49,4;58,4;81,9;17,1;18,4;14;8,9;23,6;17,6;22,9;44,2;46,6;46,6;17,6;5,3;21,3;2,4;0;13,9;37,6;50,1;97,2;123,9;13,9;23,7;12,5;47,1;26,6;6,2;1,1;0,5;0,8;0;0;1,1;1,5;2,3;2,3;2,3;0,6;0,4;0,4;2,5;0;0,6;0,9;1,4;3,9;3,9;0,294117647058824;0,111111111111111;0,333333333333333;-1;NA;0,294117647058824;0,25;0,243243243243243;-0,258064516129032;-0,258064516129032
18;"Animal20-DB2-Test_OFA";"Schema";"Interference";1;"Wake";"OFA";"18.09.2023";"R";"13:08";5;5;"LF";"LB";"yes";"";8,152;16,851;24,12;29,534;35,039;8,152;8,699;7,27;5,413;5,505;0,136;0,14;0,134;0,123;0,117;0,136;0,145;0,121;0,09;0,092;0,4;0,6;0,7;0,8;0,9;0,4;0,1;0,1;0,1;0,1;27,3;0,7;1,6;1,9;2;2;0,7;1;0,2;0,2;0;4,3;12,2;32;50,6;55,6;68,7;12,2;19,8;18,6;5;13,1;17,9;30;40,7;64,1;80,5;17,9;12;10,8;23,4;16,4;13,7;35,9;56,4;71,2;92,1;13,7;22,2;20,6;14,7;20,9;16,3;22,2;32,3;49,1;58,7;16,3;5,9;10,1;16,9;9,6;2,9;0,4;0,1;0,1;0,1;0,1;0,4;0,6;0,7;0,8;0,9;0,7;1;0,2;0,2;0;0,7;1,6;1,9;2;2;-0,272727272727273;-0,818181818181818;-0,333333333333333;-0,333333333333333;1;-0,272727272727273;-0,454545454545455;-0,461538461538462;-0,428571428571429;-0,379310344827586
19;"Animal21-GN6-Test_OFA";"Schema";"Interference";1;"Wake";"OFA";"18.09.2023";"F";"13:21";5;5;"RB";"RF";"yes";"";7,14;13,372;19,754;22,632;28,63;7,14;6,231;6,382;2,878;5,998;0,119;0,111;0,11;0,094;0,095;0,119;0,104;0,106;0,048;0,1;0,3;1,5;1,5;1,5;1,7;0,3;1,2;0;0;0,2;9,2;1,7;1,9;2,1;2,3;2,4;1,7;0,2;0,2;0,1;0,1;3,3;17,6;17,6;24;25,9;32,8;17,6;0,1;6,4;1,9;6,9;11,6;28,3;36,9;37,3;55,9;11,6;16,6;8,6;0,4;18,7;5,5;18,3;33,1;46,7;57,5;5,5;12,8;14,8;13,6;10,8;25,3;55,7;86;130,1;153,8;25,3;30,5;30,2;44,2;23,7;4,1;1,7;0,2;0,2;0,1;0,1;1,7;1,9;2,1;2,3;2,4;0,3;1,2;0;0;0,2;0,3;1,5;1,5;1,5;1,7;0,7;-0,714285714285714;1;1;-0,333333333333333;0,7;0,117647058823529;0,166666666666667;0,210526315789474;0,170731707317073
20;"Animal22-GN7-Test_OFA";"Schema";"Interference";1;"Wake";"OFA";"27.09.2023";"L";"13:32";5;5;"RF";"LF";"yes";"";5,538;9,914;15,257;18,026;18,85;5,538;4,376;5,343;2,768;0,824;0,092;0,083;0,085;0,075;0,063;0,092;0,073;0,089;0,046;0,014;1,3;1,4;2,2;2,2;2,2;1,3;0,1;0,9;0;0;5,7;2,1;2,2;2,3;2,3;2,7;2,1;0,1;0,1;0;0,4;13;14,2;15;24,8;30,3;30,3;14,2;0,8;9,8;5,5;0;3,9;13,6;15,9;15,9;15,9;3,9;9,7;2,3;0;0;23,8;38,2;67,3;94,7;94,7;23,8;14,4;29,1;27,4;0;18,2;53,3;72;99,1;159,1;18,2;35,1;18,8;27,1;60;4,9;1,3;0,1;0,9;0;0;1,3;1,4;2,2;2,2;2,2;2,1;0,1;0,1;0;0,4;2,1;2,2;2,3;2,3;2,7;-0,235294117647059;0;0,8;NA;-1;-0,235294117647059;-0,222222222222222;-0,0222222222222221;-0,0222222222222221;-0,102040816326531
